Experiment	Sector	Variable	GTAPVar	Description	Unit	Value	Type
ExB15	Svces	pxwcom	pxwcom	pxwcom	pxwcom	-0.175032377243042	TOTAL
ExB15	Svces	pxwcom	pxwcom	pxwcom	pxwcom	-0.00487931864336133	to changes
ExB15	Svces	pxwcom	pxwcom	pxwcom	pxwcom	-0.0579748265445232	txs changes
ExB15	Svces	pxwcom	pxwcom	pxwcom	pxwcom	-0.112178221344948	tms changes
ExB15	Food	qmwcom	qmwcom	qmwcom	qmwcom	-0.785325229167938	TOTAL
ExB15	Food	qmwcom	qmwcom	qmwcom	qmwcom	-0.180085077881813	to changes
ExB15	Food	qmwcom	qmwcom	qmwcom	qmwcom	-3.86039328575134	txs changes
ExB15	Food	qmwcom	qmwcom	qmwcom	qmwcom	3.25515246391296	tms changes
ExB15	Mnfcs	qmwcom	qmwcom	qmwcom	qmwcom	0.161250486969948	TOTAL
ExB15	Mnfcs	qmwcom	qmwcom	qmwcom	qmwcom	0.0230800323188305	to changes
ExB15	Mnfcs	qmwcom	qmwcom	qmwcom	qmwcom	0.0594308115541935	txs changes
ExB15	Mnfcs	qmwcom	qmwcom	qmwcom	qmwcom	0.078744187951088	tms changes
ExB15	Svces	qmwcom	qmwcom	qmwcom	qmwcom	0.0888698846101761	TOTAL
ExB15	Svces	qmwcom	qmwcom	qmwcom	qmwcom	0.0179506558924913	to changes
ExB15	Svces	qmwcom	qmwcom	qmwcom	qmwcom	0.0334012024104595	txs changes
ExB15	Svces	qmwcom	qmwcom	qmwcom	qmwcom	0.0375180244445801	tms changes
ExB15	Food	qow	qow	qow	qow	-0.417629212141037	TOTAL
ExB15	Food	qow	qow	qow	qow	-0.164708212018013	to changes
ExB15	Food	qow	qow	qow	qow	-0.113922581076622	txs changes
ExB15	Food	qow	qow	qow	qow	-0.138998597860336	tms changes
ExB15	Mnfcs	qow	qow	qow	qow	-0.0123516228049994	TOTAL
ExB15	Mnfcs	qow	qow	qow	qow	0.00398176210001111	to changes
ExB15	Mnfcs	qow	qow	qow	qow	-0.00545874936506152	txs changes
ExB15	Mnfcs	qow	qow	qow	qow	-0.0108746103942394	tms changes
ExB15	Svces	qow	qow	qow	qow	0.0264912452548742	TOTAL
ExB15	Svces	qow	qow	qow	qow	0.0138296615332365	to changes
ExB15	Svces	qow	qow	qow	qow	0.00635965215042233	txs changes
ExB15	Svces	qow	qow	qow	qow	0.00630290107801557	tms changes
ExB15	Food	qowu	qowu	qowu	qowu	-0.322304993867874	TOTAL
ExB15	Food	qowu	qowu	qowu	qowu	-0.154235124588013	to changes
ExB15	Food	qowu	qowu	qowu	qowu	-0.153563514351845	txs changes
ExB15	Food	qowu	qowu	qowu	qowu	-0.0144992861896753	tms changes
ExB15	Mnfcs	qowu	qowu	qowu	qowu	-0.0124232014641166	TOTAL
ExB15	Mnfcs	qowu	qowu	qowu	qowu	0.00494099361822009	to changes
ExB15	Mnfcs	qowu	qowu	qowu	qowu	-0.00579278310760856	txs changes
ExB15	Mnfcs	qowu	qowu	qowu	qowu	-0.011571385897696	tms changes
ExB15	Svces	qowu	qowu	qowu	qowu	0.020261786878109	TOTAL
ExB15	Svces	qowu	qowu	qowu	qowu	0.0149953775107861	to changes
ExB15	Svces	qowu	qowu	qowu	qowu	0.0120159182697535	txs changes
ExB15	Svces	qowu	qowu	qowu	qowu	-0.00675286678597331	tms changes
ExB15	Food	qxwcom	qxwcom	qxwcom	qxwcom	-1.43915045261383	TOTAL
ExB15	Food	qxwcom	qxwcom	qxwcom	qxwcom	-0.245166197419167	to changes
ExB15	Food	qxwcom	qxwcom	qxwcom	qxwcom	-3.9940984249115	txs changes
