Experiment	Region	Variable	GTAPVar	Description	Unit	Value	Type
ExB14	ROW	ug	ug	ug	ug	0.0414188951253891	TOTAL
ExB14	SSA	ugev	ugev	ugev	ugev	0.193882495164871	TOTAL
ExB14	EU	ugev	ugev	ugev	ugev	0.0885517299175262	TOTAL
ExB14	ROW	ugev	ugev	ugev	ugev	-0.0167516302317381	TOTAL
ExB14	SSA	up	up	up	up	0.131066098809242	TOTAL
ExB14	EU	up	up	up	up	0.085098922252655	TOTAL
ExB14	ROW	up	up	up	up	-0.0407898612320423	TOTAL
ExB14	SSA	upev	upev	upev	upev	0.18873330950737	TOTAL
ExB14	EU	upev	upev	upev	upev	0.0860490351915359	TOTAL
ExB14	ROW	upev	upev	upev	upev	-0.0163331106305122	TOTAL
ExB14	SSA	vgdp	vgdp	vgdp	vgdp	1.62914395332336	TOTAL
ExB14	EU	vgdp	vgdp	vgdp	vgdp	-0.715099155902863	TOTAL
ExB14	ROW	vgdp	vgdp	vgdp	vgdp	0.353288203477859	TOTAL
ExB14	SSA	vmwreg	vmwreg	vmwreg	vmwreg	1.26428532600403	TOTAL
ExB14	EU	vmwreg	vmwreg	vmwreg	vmwreg	-0.162741422653198	TOTAL
ExB14	ROW	vmwreg	vmwreg	vmwreg	vmwreg	0.275422245264053	TOTAL
ExB14	SSA	vxwreg	vxwreg	vxwreg	vxwreg	1.35995221138	TOTAL
ExB14	EU	vxwreg	vxwreg	vxwreg	vxwreg	-0.180047765374184	TOTAL
ExB14	ROW	vxwreg	vxwreg	vxwreg	vxwreg	0.293638497591019	TOTAL
ExB14	SSA	y	y	y	y	1.73039984703064	TOTAL
ExB14	EU	y	y	y	y	-0.713439702987671	TOTAL
ExB14	ROW	y	y	y	y	0.364911526441574	TOTAL
ExB14	SSA	yev	yev	yev	yev	0.189907610416412	TOTAL
ExB14	EU	yev	yev	yev	yev	0.0868192315101624	TOTAL
ExB14	ROW	yev	yev	yev	yev	-0.0164494216442108	TOTAL
ExB14	SSA	yg	yg	yg	yg	1.64092528820038	TOTAL
ExB14	EU	yg	yg	yg	yg	-0.703286111354828	TOTAL
ExB14	ROW	yg	yg	yg	yg	0.336388230323792	TOTAL
ExB14	SSA	ygev	ygev	ygev	ygev	0.193882495164871	TOTAL
ExB14	EU	ygev	ygev	ygev	ygev	0.0885517299175262	TOTAL
ExB14	ROW	ygev	ygev	ygev	ygev	-0.0167516302317381	TOTAL
ExB14	SSA	yp	yp	yp	yp	1.75674295425415	TOTAL
ExB14	EU	yp	yp	yp	yp	-0.71794605255127	TOTAL
ExB14	ROW	yp	yp	yp	yp	0.375892341136932	TOTAL
ExB14	SSA	ypev	ypev	ypev	ypev	0.18873818218708	TOTAL
ExB14	EU	ypev	ypev	ypev	ypev	0.0860503017902374	TOTAL
ExB14	ROW	ypev	ypev	ypev	ypev	-0.0163330901414156	TOTAL
ExB15	SSA	afereg	afereg	afereg	afereg	0	TOTAL
ExB15	SSA	afereg	afereg	afereg	afereg	0	to changes
ExB15	SSA	afereg	afereg	afereg	afereg	0	txs changes
ExB15	SSA	afereg	afereg	afereg	afereg	0	tms changes
ExB15	EU	afereg	afereg	afereg	afereg	0	TOTAL
ExB15	EU	afereg	afereg	afereg	afereg	0	to changes
ExB15	EU	afereg	afereg	afereg	afereg	0	txs changes
ExB15	EU	afereg	afereg	afereg	afereg	0	tms changes
ExB15	ROW	afereg	afereg	afereg	afereg	0	TOTAL
ExB15	ROW	afereg	afereg	afereg	afereg	0	to changes
ExB15	ROW	afereg	afereg	afereg	afereg	0	txs changes
ExB15	ROW	afereg	afereg	afereg	afereg	0	tms changes
ExB15	SSA	afreg	afreg	afreg	afreg	0	TOTAL
ExB15	SSA	afreg	afreg	afreg	afreg	0	to changes
ExB15	SSA	afreg	afreg	afreg	afreg	0	txs changes
ExB15	SSA	afreg	afreg	afreg	afreg	0	tms changes
ExB15	EU	afreg	afreg	afreg	afreg	0	TOTAL
ExB15	EU	afreg	afreg	afreg	afreg	0	to changes
ExB15	EU	afreg	afreg	afreg	afreg	0	txs changes
ExB15	EU	afreg	afreg	afreg	afreg	0	tms changes
ExB15	ROW	afreg	afreg	afreg	afreg	0	TOTAL
ExB15	ROW	afreg	afreg	afreg	afreg	0	to changes
ExB15	ROW	afreg	afreg	afreg	afreg	0	txs changes
